Geography,Timeframe,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units,Bulk GTIN
Atlanta,Weekly,26/01/2020 0:00,Conventional,0.985377836,724738.88,342342.19,30393.58,2621.84,112727.19,0,0,0,236654.08
Atlanta,Weekly,2/02/2020 0:00,Conventional,0.926747147,872329.09,385352.95,57863.49,717.52,115733.17,0,0,0,312661.97
Atlanta,Weekly,9/02/2020 0:00,Conventional,0.999285201,731593.46,292678.71,57282.63,128.68,115626.76,0,0,0,265876.67
Atlanta,Weekly,16/02/2020 0:00,Conventional,0.958697726,664767.94,257305.38,42764.98,45.3,110846.56,0,0,0,253805.73
Atlanta,Weekly,23/02/2020 0:00,Conventional,0.963223543,680168.17,290050.27,30049.42,75.83,119000.11,0,0,0,240992.55
Atlanta,Weekly,1/03/2020 0:00,Conventional,1.098550642,649260.8,274732.87,26174.19,63.33,116079.2,0,0,0,232211.21
Atlanta,Weekly,8/03/2020 0:00,Conventional,1.128772634,698641.15,300107.24,25059.97,73.68,119037.35,0,0,0,254362.92
Atlanta,Weekly,15/03/2020 0:00,Conventional,1.115267902,865055.04,374096.26,28536.4,93.98,158244.52,0,0,0,304083.89
Atlanta,Weekly,22/03/2020 0:00,Conventional,1.080955168,801556.33,358846.63,28282.2,73.17,128678.56,0,0,0,285675.76
Atlanta,Weekly,29/03/2020 0:00,Conventional,1.137873618,805328.51,368720.68,27546.41,113.14,136847.27,0,0,0,272101.01
Atlanta,Weekly,5/04/2020 0:00,Conventional,1.128764737,907265.67,425642.37,24682.94,129.47,161681.34,0,0,0,295129.55
Atlanta,Weekly,12/04/2020 0:00,Conventional,1.143417505,773757.53,359188.37,30784.86,90.53,129732.53,0,0,0,253961.24
Atlanta,Weekly,19/04/2020 0:00,Conventional,1.134734476,831953.47,388226.91,27121.19,85.53,144067.5,0,0,0,272452.34
Atlanta,Weekly,26/04/2020 0:00,Conventional,1.148249505,838720.46,388632.07,25482.27,62.04,143702.7,0,0,0,280841.38
Atlanta,Weekly,3/05/2020 0:00,Conventional,1.055654464,1009607.41,495021.66,27014.12,770.93,163518.21,0,0,0,323282.48
Atlanta,Weekly,10/05/2020 0:00,Conventional,1.102573562,886429.88,389992.74,23367.75,152.7,170155.54,0,0,0,302761.15
Atlanta,Weekly,17/05/2020 0:00,Conventional,1.089320912,881594.67,405435.16,23101.95,105.75,159646.91,0,0,0,293304.88
