"Week","Year","Status","Total Volume","California","Chile","Mexico","Peru","Colombia","Dominican Republic"
"Jan 9, 2022","2022","Actual","25,245,161","42,476","0","24,826,202","0","154,221","222,260"
"Jan 16, 2022","2022","Actual","25,803,376","254,741","45,359","25,417,092","0","45,359","40,823"
"Jan 23, 2022","2022","Actual","27,651,102","1,358,681","0","26,249,028","0","43,391","N/A"
"Jan 30, 2022","2022","Actual","27,067,867","2,351,814","199,580","24,429,687","0","86,783","N/A"
"Feb 6, 2022","2022","Actual","23,700,493","2,529,702","226,796","20,705,339","0","238,655","N/A"
"Feb 13, 2022","2022","Actual","13,538,106","1,837,830","199,580","10,979,992","0","520,702","N/A"
"Feb 20, 2022","2022","Actual","11,411,144","3,432,575","222,260","7,300,693","0","455,615","N/A"
"Feb 27, 2022","2022","Actual","26,431,640","3,658,560","594,205","21,853,434","0","325,439","N/A"
"Mar 6, 2022","2022","Actual","29,166,929","3,454,216","576,061","24,811,211","0","325,439","N/A"
"Mar 13, 2022","2022","Actual","25,843,478","3,630,077","426,376","21,678,544","0","108,479","N/A"
"Mar 20, 2022","2022","Actual","22,051,255","3,436,635","145,149","18,035,551","0","433,919","N/A"
"Mar 27, 2022","2022","Actual","18,189,130","3,153,811","299,370","14,519,564","64,511","151,871","N/A"
"Apr 3, 2022","2022","Actual","21,009,354","2,482,199","340,194","18,021,432","100,440","65,087","N/A"
"Apr 10, 2022","2022","Actual","23,623,647","3,972,180","81,646","19,288,540","86,015","195,263","N/A"
"Apr 17, 2022","2022","Actual","15,061,578","5,023,348","40,823","9,827,999","60,927","108,479","N/A"
"Apr 24, 2022","2022","Actual","28,441,114","6,160,887","45,359","22,040,948","150,526","43,391","N/A"
"May 1, 2022","2022","Actual","26,264,324","6,885,495","0","19,169,455","100,892","108,479","N/A"
"May 8, 2022","2022","Actual","20,669,234","6,512,660","0","13,485,959","214,999","455,615","N/A"
"May 15, 2022","2022","Actual","19,180,237","5,628,260","0","12,496,727","838,289","216,959","N/A"
"May 22, 2022","2022","Actual","21,117,700","5,477,897","0","13,862,334","1,452,028","325,439","N/A"
"May 29, 2022","2022","Actual","22,584,157","6,193,663","0","13,390,605","2,686,909","312,978","N/A"
"Jun 5, 2022","2022","Projection","22,644,009","5,262,846","0","13,051,991","3,884,404","444,767","N/A"
"Jun 12, 2022","2022","Projection","23,058,421","5,104,225","0","13,472,991","4,036,436","444,767","N/A"
"Jun 19, 2022","2022","Projection","24,789,009","4,954,902","0","13,919,991","5,447,652","466,463","N/A"
"Jun 26, 2022","2022","Projection","25,129,042","5,202,927","0","13,484,991","5,996,356","444,767","N/A"
"Jul 3, 2022","2022","Projection","25,549,588","4,070,534","0","12,971,991","8,062,294","444,767","N/A"
"Jul 10, 2022","2022","Projection","25,425,587","3,754,834","0","12,665,639","8,603,737","401,375","N/A"
"Jul 17, 2022","2022","Projection","27,061,224","4,007,077","0","13,664,313","8,966,761","423,071","N/A"
"Jul 24, 2022","2022","Projection","27,876,810","3,864,830","0","14,320,991","9,354,701","336,287","N/A"
"Jul 31, 2022","2022","Projection","26,152,564","3,543,279","0","13,359,988","8,891,312","357,983","N/A"
"Aug 7, 2022","2022","Projection","25,232,068","2,814,220","0","13,628,527","8,409,640","379,679","N/A"
"Aug 14, 2022","2022","Projection","26,731,684","2,871,010","0","15,784,453","8,076,220","N/A","N/A"
"Aug 21, 2022","2022","Projection","24,894,737","2,831,094","0","15,305,537","6,758,104","N/A","N/A"
"Aug 28, 2022","2022","Projection","22,902,539","2,729,217","0","14,812,854","5,360,467","N/A","N/A"
"Sep 4, 2022","2022","Projection","18,505,863","856,653","0","13,191,759","4,457,449","N/A","N/A"
"Sep 11, 2022","2022","Projection","21,412,331","653,716","0","17,038,342","3,720,272","N/A","N/A"
"Sep 18, 2022","2022","Projection","19,405,226","430,957","0","15,735,688","3,238,579","N/A","N/A"
"Sep 25, 2022","2022","Projection","22,027,183","416,125","0","19,299,403","2,311,654","N/A","N/A"
"Oct 2, 2022","2022","Projection","21,085,104","332,437","0","19,418,511","1,334,155","N/A","N/A"
"Oct 9, 2022","2022","Projection","20,288,232","112,626","0","20,067,817","107,787","N/A","N/A"
"Oct 16, 2022","2022","Projection","0","N/A","0","N/A","0","N/A","N/A"
"Oct 23, 2022","2022","Projection","0","N/A","0","N/A","0","N/A","N/A"
"Oct 30, 2022","2022","Projection","0","N/A","0","N/A","0","N/A","N/A"
"Nov 6, 2022","2022","Projection","0","N/A","0","N/A","0","N/A","N/A"
"Nov 13, 2022","2022","Projection","0","N/A","0","N/A","0","N/A","N/A"
"Nov 20, 2022","2022","Projection","0","N/A","0","N/A","0","N/A","N/A"
"Nov 27, 2022","2022","Projection","0","N/A","0","N/A","0","N/A","N/A"
"Dec 4, 2022","2022","Projection","0","N/A","0","N/A","0","N/A","N/A"
"Dec 11, 2022","2022","Projection","0","N/A","0","N/A","0","N/A","N/A"
"Dec 18, 2022","2022","Projection","0","N/A","0","N/A","0","N/A","N/A"
"Dec 25, 2022","2022","Projection","0","N/A","0","N/A","0","N/A","N/A"
"Jan 1, 2023","2022","Projection","0","N/A","0","N/A","0","N/A","N/A"
