Geography,Timeframe,Lat,Lng,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units,Bulk GTIN
Total U.S.,Weekly,#FIELD!,#FIELD!,4/04/2021 0:00,Organic,1.619363142,1932333.49,81070.35,115875.98,3100.86,1288160.2,1241179.37,11149.61,40.95,444126.11
Total U.S.,Weekly,#FIELD!,#FIELD!,11/04/2021 0:00,Conventional,1.163461448,39321744.05,11305864.58,6749597.15,384629.22,10701492.35,9164619.93,541480,622635.28,10180160.75
Total U.S.,Weekly,#FIELD!,#FIELD!,11/04/2021 0:00,Organic,1.644323761,1906031.37,94921.27,116084.68,3979.81,1263093.56,1221959.78,10169.44,22.05,427952.05
Total U.S.,Weekly,#FIELD!,#FIELD!,18/04/2021 0:00,Conventional,1.185743265,40603117.35,11856522.34,7007016.24,397408.15,11199711.81,9519624.49,731672.41,595770.43,10142458.81
Total U.S.,Weekly,#FIELD!,#FIELD!,18/04/2021 0:00,Organic,1.642447519,1995484.55,94966.83,112604.78,1527.54,1347256.21,1300496.9,11183.9,66.15,439129.2
Total U.S.,Weekly,#FIELD!,#FIELD!,25/04/2021 0:00,Conventional,1.174884404,40414944.37,11504717.89,6776506.43,376834.71,11225172.65,9529749.83,1099091.44,328773.66,10531712.68
Total U.S.,Weekly,#FIELD!,#FIELD!,25/04/2021 0:00,Organic,1.679376075,2010721.26,126616.16,117122.09,779.25,1294746.8,1256922.58,10019.51,157.5,471456.96
Total U.S.,Weekly,#FIELD!,#FIELD!,2/05/2021 0:00,Conventional,1.080920189,45273336.75,12830101.2,8101757.59,520446.41,11148977.87,9565572.83,728555.52,514959.65,12672053.68
Total U.S.,Weekly,#FIELD!,#FIELD!,2/05/2021 0:00,Organic,1.57204522,2287155.17,133069.12,125336.2,321.05,1267358.49,1216667.43,14677.64,53.55,761070.31
Total U.S.,Weekly,#FIELD!,#FIELD!,9/05/2021 0:00,Conventional,1.13496175,42889029.8,12259275.69,7959115.37,454810,10820389.58,9303845.28,509795.89,656691.88,11395439.15
