Geography,Segment,Variety,Timeframe,Period,"Current Year Week Ending","Units Prior Year","Units Current Year","Unit Variance","Dollars Prior Year","Dollars Current Year","Dollar Variance","ASP Prior Year","ASP Current Year","ASP Variance"
"Total U.S.",Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",162237872.70,161546120.60,-0.004263814,174684226.60,166700245.00,-0.045705223,1.076716698,1.031904972,-0.041618864
"Total U.S.",Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",172371655.10,172139338.60,-0.001347765,169422822.20,174842088.50,0.031986637,0.982892588,1.015700943,0.033379390
"Total U.S.",Avocados,Hass,"Last 04 Wks",3,"2020-03-22 00:00:00",163499466.10,164686916.00,0.007262714,172331755.40,199834027.30,0.159589113,1.054020294,1.213417752,0.151228072
"Total U.S.",Avocados,Hass,"Last 04 Wks",4,"2020-04-19 00:00:00",158910119.20,170075110.80,0.070259790,181494178.10,213233094.50,0.174875672,1.142118444,1.253758375,0.097748120
"Total U.S.",Avocados,Hass,"Last 04 Wks",5,"2020-05-17 00:00:00",146456484.30,195446677.50,0.334503409,199774786.10,232829307.20,0.165458924,1.364055590,1.191267665,-0.126672202
"Total U.S.",Avocados,Hass,"Last 04 Wks",6,"2020-06-14 00:00:00",145117722.60,196481881.60,0.353948216,197940100.00,227637483.00,0.150032172,1.363996736,1.158567300,-0.150608451
"Total U.S.",Avocados,Hass,"Last 04 Wks",7,"2020-07-12 00:00:00",131063713.80,186055264.30,0.419578760,200629881.00,211094294.40,0.052157801,1.530781291,1.134578456,-0.258823933
"Total U.S.",Avocados,Hass,"Last 04 Wks",8,"2020-08-09 00:00:00",121819129.60,181200767.50,0.487457414,187905457.90,194301313.90,0.034037628,1.542495489,1.072298515,-0.304828752
"Total U.S.",Avocados,Hass,"Last 04 Wks",9,"2020-09-06 00:00:00",134047985.50,178792326.40,0.333793460,181972657.90,185177113.70,0.017609545,1.357518781,1.035710634,-0.237056129
"Total U.S.",Avocados,Hass,"Last 04 Wks",10,"2020-10-04 00:00:00",133792230.20,167215033.50,0.249811242,169291928.20,171850769.50,0.015114963,1.265334526,1.027723201,-0.187785380
"Total U.S.",Avocados,Hass,"Last 04 Wks",11,"2020-11-01 00:00:00",132617911.30,161658994.60,0.218983115,153091613.20,162370003.40,0.060606783,1.154381122,1.004398201,-0.129924960
"Total U.S.",Avocados,Hass,"Last 04 Wks",12,"2020-11-29 00:00:00",125052246.00,151461078.10,0.211182390,138422988.30,147501892.60,0.065588125,1.106921249,0.973860047,-0.120208373
"Total U.S.",Avocados,Hass,"Last 04 Wks",13,"2020-12-27 00:00:00",128825814.20,152518916.00,0.183915794,135238747.70,144665436.30,0.069704051,1.049779879,0.948508159,-0.096469481
California,Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",25406592.91,23858144.64,-0.060946711,28537726.07,28956863.02,0.014687118,1.123240970,1.213709761,0.080542638
California,Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",28230217.18,27628081.42,-0.021329477,27329999.87,30478741.23,0.115211906,0.968111570,1.103179796,0.139517212
California,Avocados,Hass,"Last 04 Wks",3,"2020-03-22 00:00:00",25378157.16,23293793.37,-0.082132197,29046686.45,33131187.93,0.140618500,1.144554597,1.422318272,0.242682766
California,Avocados,Hass,"Last 04 Wks",4,"2020-04-19 00:00:00",26252987.10,25328104.49,-0.035229614,30932392.73,36077979.11,0.166349445,1.178242789,1.424424758,0.208939933
California,Avocados,Hass,"Last 04 Wks",5,"2020-05-17 00:00:00",22578663.41,29202650.82,0.293373761,34422506.50,38520895.57,0.119061320,1.524559088,1.319089004,-0.134773448
California,Avocados,Hass,"Last 04 Wks",6,"2020-06-14 00:00:00",22892990.35,29345156.98,0.281840272,35650946.00,38848992.99,0.089704408,1.557286552,1.323863867,-0.149890645
California,Avocados,Hass,"Last 04 Wks",7,"2020-07-12 00:00:00",21721678.03,28916325.03,0.331219669,37685431.76,37321905.51,-0.009646334,1.734922675,1.290686333,-0.256055413
California,Avocados,Hass,"Last 04 Wks",8,"2020-08-09 00:00:00",20078341.86,27996483.77,0.394362342,35529817.62,36534137.49,0.028266958,1.769559353,1.304954500,-0.262553981
California,Avocados,Hass,"Last 04 Wks",9,"2020-09-06 00:00:00",21758297.23,29028759.90,0.334146675,33994508.16,35315569.62,0.038861026,1.562369876,1.216571763,-0.221329224
California,Avocados,Hass,"Last 04 Wks",10,"2020-10-04 00:00:00",22223501.40,27318508.23,0.229262110,29762934.67,32642494.59,0.096749865,1.339254969,1.194885691,-0.107798202
California,Avocados,Hass,"Last 04 Wks",11,"2020-11-01 00:00:00",22310779.68,25394207.06,0.138203480,27193199.96,30656449.96,0.127357207,1.218836829,1.207222178,-0.009529291
California,Avocados,Hass,"Last 04 Wks",12,"2020-11-29 00:00:00",20049938.63,23139292.68,0.154082968,25175645.88,27463790.36,0.090887220,1.255647030,1.186889796,-0.054758409
California,Avocados,Hass,"Last 04 Wks",13,"2020-12-27 00:00:00",20251523.66,24540973.76,0.211808760,24254744.51,28233507.77,0.164040617,1.197675045,1.150464038,-0.039418878
"Great Lakes",Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",16265757.64,16446517.59,0.011112913,18482613.13,17134396.43,-0.072945134,1.136289716,1.041825197,-0.083134184
"Great Lakes",Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",17267923.92,17448707.10,0.010469306,17464256.56,17418009.58,-0.002648093,1.011369788,0.998240700,-0.012981491
"Great Lakes",Avocados,Hass,"Last 04 Wks",3,"2020-03-22 00:00:00",16156019.07,16384390.61,0.014135384,17480508.06,20761079.52,0.187670258,1.081981148,1.267125523,0.171116082
"Great Lakes",Avocados,Hass,"Last 04 Wks",4,"2020-04-19 00:00:00",15641241.61,16711572.45,0.068430043,18208158.17,21258589.35,0.167531013,1.164112071,1.272087915,0.092753822
"Great Lakes",Avocados,Hass,"Last 04 Wks",5,"2020-05-17 00:00:00",14183394.43,20131628.85,0.419380173,20024126.49,24733541.92,0.235187059,1.411800722,1.228591194,-0.129770105
"Great Lakes",Avocados,Hass,"Last 04 Wks",6,"2020-06-14 00:00:00",14853632.83,19785529.40,0.332033020,20271043.29,23545928.41,0.161554838,1.364719562,1.190058044,-0.127983450
