Geography,Segment,Variety,Timeframe,Period,"Current Year Week Ending","Units Prior Year","Units Current Year","Unit Variance","Dollars Prior Year","Dollars Current Year","Dollar Variance","ASP Prior Year","ASP Current Year","ASP Variance"
"Total U.S.",Avocados,Hass,"Last 04 Wks",1,"2021-01-24 00:00:00",161546121.00,187621448.00,0.161000000,166700245.00,175805430.00,0.055000000,1.031904969,0.937022030,-0.091949300
California,Avocados,Hass,"Last 04 Wks",1,"2021-01-24 00:00:00",23858145.00,28668766.00,0.202000000,28956863.00,33234199.00,0.148000000,1.213709741,1.159247629,-0.044872436
"Great Lakes",Avocados,Hass,"Last 04 Wks",1,"2021-01-24 00:00:00",16446518.00,19781514.00,0.203000000,17134396.00,18799825.00,0.097000000,1.041825145,0.950373414,-0.087780307
Midsouth,Avocados,Hass,"Last 04 Wks",1,"2021-01-24 00:00:00",15441472.00,18377930.00,0.190000000,16647555.00,18048619.00,0.084000000,1.078106737,0.982081170,-0.089068702
Northeast,Avocados,Hass,"Last 04 Wks",1,"2021-01-24 00:00:00",21399967.00,25952797.00,0.213000000,27223441.00,28773173.00,0.057000000,1.272125373,1.108673296,-0.128487396
Plains,Avocados,Hass,"Last 04 Wks",1,"2021-01-24 00:00:00",7986152.00,9265322.00,0.160000000,8520205.00,8173387.00,-0.041000000,1.066872381,0.882148187,-0.173145540
"South Central",Avocados,Hass,"Last 04 Wks",1,"2021-01-24 00:00:00",25176692.00,27305566.00,0.085000000,18539643.00,18398343.00,-0.008000000,0.736381213,0.673794603,-0.084992133
Southeast,Avocados,Hass,"Last 04 Wks",1,"2021-01-24 00:00:00",22320802.00,24263452.00,0.087000000,20856640.00,20173193.00,-0.033000000,0.934403701,0.831423039,-0.110210032
West,Avocados,Hass,"Last 04 Wks",1,"2021-01-24 00:00:00",28916372.00,34006101.00,0.176000000,28821502.00,30204690.00,0.048000000,0.996719160,0.888213853,-0.108862467
Albany,Avocados,Hass,"Last 04 Wks",1,"2021-01-24 00:00:00",530411.00,624591.00,0.178000000,617446.00,738246.00,0.196000000,1.164089734,1.181967079,0.015357360
Atlanta,Avocados,Hass,"Last 04 Wks",1,"2021-01-24 00:00:00",3030870.00,3371171.00,0.112000000,2929806.00,2940285.00,0.004000000,0.966655119,0.872185066,-0.097728809
Baltimore/Washington,Avocados,Hass,"Last 04 Wks",1,"2021-01-24 00:00:00",3820183.00,4399794.00,0.152000000,4937481.00,5086564.00,0.030000000,1.292472376,1.156091399,-0.105519452
